                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 0.7508,                 1.0893,                 1.1065,                0.79505,                0.92659,                0.95864,                0.65981,                 1.0087,                 1.8547,                 1.5157,               0.008878,               0.008878,               0.008878
                     36,                0.67003,                0.98446,                 1.0577,                0.79927,                 0.9057,                0.98389,                0.70814,                0.94865,                 2.5606,                 1.4858,               0.008845,               0.008845,               0.008845
                     37,                0.69122,                0.94564,                 1.0648,                0.95699,                 0.9369,                  0.995,                0.70073,                 1.0495,                 1.6378,                 1.4851,               0.008812,               0.008812,               0.008812
                     38,                0.74541,                 1.0061,                 1.0723,                0.73954,                 0.9823,                0.98389,                0.59682,                 1.0008,                 2.4824,                 1.4894,               0.008779,               0.008779,               0.008779
                     39,                0.77725,                 1.0157,                 1.1232,                0.95889,                 0.9647,                  0.995,                0.69373,                0.95963,                 1.6183,                 1.4196,               0.008746,               0.008746,               0.008746
                     40,                0.70215,                0.93631,                 1.0912,                0.93926,                 0.9903,                  0.995,                0.75953,                0.87647,                 1.2486,                 1.3227,               0.008713,               0.008713,               0.008713
                     41,                0.77794,                 1.0419,                 1.1313,                0.96717,                0.93333,                0.98389,                0.75522,                 1.0043,                 1.2446,                 1.4564,                0.00868,                0.00868,                0.00868
                     42,                0.63827,                0.89058,                 1.0732,                0.98431,                0.99144,                  0.995,                0.72338,                0.95818,                 1.1787,                 1.3885,               0.008647,               0.008647,               0.008647
                     43,                0.63673,                0.87493,                 1.0368,                0.95473,                0.94939,                  0.995,                0.70927,                0.94892,                 1.1888,                 1.4537,               0.008614,               0.008614,               0.008614
                     44,                0.65534,                0.88165,                 1.0926,                0.95193,                0.78533,                 0.9675,                0.74953,                0.98955,                 1.2698,                  1.532,               0.008581,               0.008581,               0.008581
                     45,                0.67701,                0.98349,                 1.1355,                0.93997,                0.88493,                   0.97,                0.66143,                 1.0983,                 1.2943,                 1.7355,               0.008548,               0.008548,               0.008548
                     46,                0.63413,                0.89735,                 1.0495,                0.94666,                0.95769,                  0.995,                0.70306,                 1.0566,                 1.0226,                 1.6991,               0.008515,               0.008515,               0.008515
                     47,                0.63874,                0.80111,                 1.0513,                0.94719,                0.76667,                0.91444,                0.67616,                0.90076,                 1.2876,                 1.5832,               0.008482,               0.008482,               0.008482
                     48,                0.77538,                 0.9422,                 1.0982,                0.85415,                0.92138,                0.96537,                0.62128,                 1.0309,                 1.1827,                 1.7881,               0.008449,               0.008449,               0.008449
                     49,                 0.6728,                 1.0183,                 1.0903,                0.88876,                0.96863,                  0.995,                0.69088,                0.86662,                 1.1313,                 1.4937,               0.008416,               0.008416,               0.008416
                     50,                0.66449,                 0.8826,                 1.0533,                0.87367,                0.82094,                0.94845,                0.66372,                0.95934,                 1.3011,                 1.6222,               0.008383,               0.008383,               0.008383
                     51,                0.68121,                0.89559,                 1.0734,                0.70406,                0.83458,                0.78489,                0.59034,                0.95143,                 1.5009,                 1.5653,                0.00835,                0.00835,                0.00835
                     52,                0.71518,                0.91459,                 1.1398,                 0.8491,                0.66667,                0.88444,                0.60735,                0.98951,                  1.729,                 1.5854,               0.008317,               0.008317,               0.008317
                     53,                0.69632,                 0.7825,                 1.0918,                0.81597,                0.66667,                 0.6626,                0.46937,                 1.1429,                 1.7945,                 1.8811,               0.008284,               0.008284,               0.008284
                     54,                0.72641,                 0.8442,                 1.1102,                0.81536,                0.66667,                0.60733,                0.44197,                 1.1308,                 1.6056,                 1.8507,               0.008251,               0.008251,               0.008251
                     55,                0.62054,                0.78048,                 1.0147,                0.55525,                0.77778,                0.70114,                0.50019,                 1.0476,                  1.634,                 1.8708,               0.008218,               0.008218,               0.008218
                     56,                0.64076,                0.77752,                 1.0467,                0.78013,                0.61111,                0.72859,                0.54404,                0.96646,                 1.5096,                 1.7386,               0.008185,               0.008185,               0.008185
                     57,                0.63843,                0.75008,                 1.0401,                0.58548,                0.88322,                0.86484,                0.60172,                0.81912,                 1.3511,                  1.401,               0.008152,               0.008152,               0.008152
                     58,                0.59484,                0.74224,                 1.0317,                0.68047,                0.57032,                0.75417,                 0.5498,                 0.8496,                 1.3424,                 1.4011,               0.008119,               0.008119,               0.008119
                     59,                 0.5909,                0.78536,                 1.0327,                0.60528,                0.89937,                0.86537,                0.61645,                0.92801,                 1.2555,                 1.4834,               0.008086,               0.008086,               0.008086
                     60,                0.71694,                0.84759,                 1.0877,                0.67476,                0.93864,                0.93944,                0.75037,                0.87027,                 1.1918,                 1.4896,               0.008053,               0.008053,               0.008053
                     61,                0.63766,                0.78381,                 1.0284,                 0.5707,                0.87452,                0.83299,                0.63751,                0.81603,                 1.2891,                 1.3317,                0.00802,                0.00802,                0.00802
                     62,                 0.5743,                0.71397,                 1.0056,                0.76644,                0.75865,                0.86484,                0.65432,                0.75182,                 1.1364,                 1.2572,               0.007987,               0.007987,               0.007987
                     63,                0.58751,                0.78081,                   1.01,                0.69746,                  0.919,                0.82917,                0.69405,                0.66724,                 1.3209,                 1.2086,               0.007954,               0.007954,               0.007954
                     64,                0.65449,                0.78272,                 1.0604,                0.84425,                0.89661,                0.88444,                0.69661,                0.66208,                 1.1458,                 1.1779,               0.007921,               0.007921,               0.007921
                     65,                0.60955,                0.71141,                 1.0341,                0.80228,                      1,                0.93944,                 0.7769,                0.65138,                0.85821,                 1.1886,               0.007888,               0.007888,               0.007888
                     66,                0.58162,                0.72469,                0.99602,                0.94459,                0.92235,                  0.995,                0.82875,                0.75516,                0.81874,                 1.2378,               0.007855,               0.007855,               0.007855
                     67,                0.60185,                0.74529,                  1.069,                0.85805,                0.98546,                  0.995,                 0.7829,                 0.6924,                0.77737,                 1.2535,               0.007822,               0.007822,               0.007822
                     68,                0.60607,                0.75287,                 1.0493,                0.89981,                0.94843,                  0.995,                0.75871,                0.73676,                0.81194,                 1.3069,               0.007789,               0.007789,               0.007789
                     69,                0.59349,                0.70027,                 1.0152,                0.95137,                0.83333,                0.93944,                0.84749,                0.57308,                0.78466,                 1.1876,               0.007756,               0.007756,               0.007756
                     70,                0.61701,                0.72901,                 1.0568,                0.95679,                0.82318,                  0.895,                0.77888,                0.51973,                0.76208,                 1.0883,               0.007723,               0.007723,               0.007723
                     71,                 0.6185,                0.66617,                 1.0392,                0.96296,                0.83333,                0.87595,                0.75806,                0.62363,                0.84394,                 1.2155,                0.00769,                0.00769,                0.00769
                     72,                0.58867,                0.78357,                 1.0534,                0.95666,                0.99163,                  0.995,                0.84705,                 0.6231,                0.64766,                 1.2609,               0.007657,               0.007657,               0.007657
                     73,                 0.5891,                0.68772,                 1.0186,                0.97108,                      1,                  0.995,                0.85808,                0.62227,                0.65468,                 1.1728,               0.007624,               0.007624,               0.007624
                     74,                0.53819,                0.65084,                0.99565,                 0.9663,                      1,                  0.995,                0.84635,                  0.602,                0.67792,                 1.1799,               0.007591,               0.007591,               0.007591
                     75,                0.58764,                0.71134,                 1.0142,                 0.9513,                      1,                  0.995,                0.82857,                0.74127,                0.67165,                 1.3992,               0.007558,               0.007558,               0.007558
                     76,                0.58501,                0.71109,                  1.022,                0.97737,                      1,                  0.995,                0.80406,                0.69188,                 0.6732,                 1.3156,               0.007525,               0.007525,               0.007525
                     77,                0.61476,                0.71602,                  1.032,                0.96308,                0.87842,                  0.995,                0.74101,                0.75881,                0.90344,                   1.32,               0.007492,               0.007492,               0.007492
                     78,                0.56829,                 0.6871,                 1.0246,                0.93481,                0.85826,                0.97278,                0.72357,                0.88367,                0.97989,                 1.4401,               0.007459,               0.007459,               0.007459
